Infinitive,ка́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ка́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ка́ркну
2nd Sing,ка́ркнешь
3rd Sing,ка́ркнет
1st Pl,ка́ркнем
2nd Pl,ка́ркнете
3rd Pl,ка́ркнут
Past M,ка́ркнул
Past F,ка́ркнула
Past N,ка́ркнуло
Past PL,ка́ркнули
Imp S,ка́ркни
Imp PL,ка́ркните
