Infinitive,капри́зничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,капри́зничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,капри́зничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,капри́зничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,капри́зничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,капри́зничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,капри́зничаю
2nd Sing,капри́зничаешь
3rd Sing,капри́зничает
1st Pl,капри́зничаем
2nd Pl,капри́зничаете
3rd Pl,капри́зничают
Past M,капри́зничал
Past F,капри́зничала
Past N,капри́зничало
Past PL,капри́зничали
Imp S,капри́зничай
Imp PL,капри́зничайте
