Infinitive,кача́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кача́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кача́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кача́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кача́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кача́юсь
2nd Sing,кача́ешься
3rd Sing,кача́ется
1st Pl,кача́емся
2nd Pl,кача́етесь
3rd Pl,кача́ются
Past M,кача́лся
Past F,кача́лась
Past N,кача́лось
Past PL,кача́лись
Imp S,кача́йся
Imp PL,кача́йтесь
