Infinitive,ка́ркать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́ркающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́ркавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́ркая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ка́ркав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ка́ркавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ка́ркаю
2nd Sing,ка́ркаешь
3rd Sing,ка́ркает
1st Pl,ка́ркаем
2nd Pl,ка́ркаете
3rd Pl,ка́ркают
Past M,ка́ркал
Past F,ка́ркала
Past N,ка́ркало
Past PL,ка́ркали
Imp S,ка́ркай
Imp PL,ка́ркайте
