Infinitive,ка́яться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́явшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ка́явшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ка́юсь
2nd Sing,ка́ешься
3rd Sing,ка́ется
1st Pl,ка́емся
2nd Pl,ка́етесь
3rd Pl,ка́ются
Past M,ка́ялся
Past F,ка́ялась
Past N,ка́ялось
Past PL,ка́ялись
Imp S,ка́йся
Imp PL,ка́йтесь
