Infinitive,карта́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,карта́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,карта́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,карта́вя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,карта́вив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,карта́вивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,карта́влю
2nd Sing,карта́вишь
3rd Sing,карта́вит
1st Pl,карта́вим
2nd Pl,карта́вите
3rd Pl,карта́вят
Past M,карта́вил
Past F,карта́вила
Past N,карта́вило
Past PL,карта́вили
Imp S,карта́вь
Imp PL,карта́вьте
