Infinitive,ка́пать
Zaliznyak Class,1a // 6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́пающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ка́плющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́павший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,ка́пая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,ка́пля
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ка́пав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ка́павши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ка́паю
2nd Sing,ка́паешь
3rd Sing,ка́пает
1st Pl,ка́паем
2nd Pl,ка́паете
3rd Pl,ка́пают
Past M,ка́пал
Past F,ка́пала
Past N,ка́пало
Past PL,ка́пали
Imp S,ка́пай
Imp PL,ка́пайте
