Infinitive,кара́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кара́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кара́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кара́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кара́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кара́юсь
2nd Sing,кара́ешься
3rd Sing,кара́ется
1st Pl,кара́емся
2nd Pl,кара́етесь
3rd Pl,кара́ются
Past M,кара́лся
Past F,кара́лась
Past N,кара́лось
Past PL,кара́лись
Imp S,кара́йся
Imp PL,кара́йтесь
