Infinitive,качну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,качну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,качну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,качну́сь
2nd Sing,качнёшься
3rd Sing,качнётся
1st Pl,качнёмся
2nd Pl,качнётесь
3rd Pl,качну́тся
Past M,качну́лся
Past F,качну́лась
Past N,качну́лось
Past PL,качну́лись
Imp S,качни́сь
Imp PL,качни́тесь
