Infinitive,каса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,каса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,каса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,каса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,каса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,каса́юсь
2nd Sing,каса́ешься
3rd Sing,каса́ется
1st Pl,каса́емся
2nd Pl,каса́етесь
3rd Pl,каса́ются
Past M,каса́лся
Past F,каса́лась
Past N,каса́лось
Past PL,каса́лись
Imp S,каса́йся
Imp PL,каса́йтесь
