Infinitive,ка́шлять
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́шляющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́шлявший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́шляя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ка́шляв
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ка́шлявши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ка́шляю
2nd Sing,ка́шляешь
3rd Sing,ка́шляет
1st Pl,ка́шляем
2nd Pl,ка́шляете
3rd Pl,ка́шляют
Past M,ка́шлял
Past F,ка́шляла
Past N,ка́шляло
Past PL,ка́шляли
Imp S,ка́шляй
Imp PL,ка́шляйте
