Infinitive,бере́чься
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,берегу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,берёгшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,берёгшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,берегу́сь
2nd Sing,бережёшься
3rd Sing,бережётся
1st Pl,бережёмся
2nd Pl,бережётесь
3rd Pl,берегу́тся
Past M,берёгся
Past F,берегла́сь
Past N,берегло́сь
Past PL,берегли́сь
Imp S,береги́сь
Imp PL,береги́тесь
