Infinitive,бели́ть
Zaliznyak Class,4c[④]⑦ // 4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,беля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,бе́лящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,бели́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,бели́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,белённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,беля́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,бели́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,бели́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,белю́
2nd Sing,бе́лишь
3rd Sing,бе́лит
1st Pl,бе́лим
2nd Pl,бе́лите
3rd Pl,бе́лят
Past M,бели́л
Past F,бели́ла
Past N,бели́ло
Past PL,бели́ли
Imp S,бели́
Imp PL,бели́те
