Infinitive,безмо́лвствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,безмо́лвствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,безмо́лвствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,безмо́лвствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,безмо́лвствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,безмо́лвствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,безмо́лвствую
2nd Sing,безмо́лвствуешь
3rd Sing,безмо́лвствует
1st Pl,безмо́лвствуем
2nd Pl,безмо́лвствуете
3rd Pl,безмо́лвствуют
Past M,безмо́лвствовал
Past F,безмо́лвствовала
Past N,безмо́лвствовало
Past PL,безмо́лвствовали
Imp S,безмо́лвствуй
Imp PL,безмо́лвствуйте
