Infinitive,бесе́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бесе́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бесе́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бесе́дуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бесе́довав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бесе́довавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бесе́дую
2nd Sing,бесе́дуешь
3rd Sing,бесе́дует
1st Pl,бесе́дуем
2nd Pl,бесе́дуете
3rd Pl,бесе́дуют
Past M,бесе́довал
Past F,бесе́довала
Past N,бесе́довало
Past PL,бесе́довали
Imp S,бесе́дуй
Imp PL,бесе́дуйте
