Infinitive,бере́чь
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,берегу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,берёгший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бережённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,берёгши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,берегу́
2nd Sing,бережёшь
3rd Sing,бережёт
1st Pl,бережём
2nd Pl,бережёте
3rd Pl,берегу́т
Past M,берёг
Past F,берегла́
Past N,берегло́
Past PL,берегли́
Imp S,береги́
Imp PL,береги́те
