Infinitive,безобра́зничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,безобра́зничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,безобра́зничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,безобра́зничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,безобра́зничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,безобра́зничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,безобра́зничаю
2nd Sing,безобра́зничаешь
3rd Sing,безобра́зничает
1st Pl,безобра́зничаем
2nd Pl,безобра́зничаете
3rd Pl,безобра́зничают
Past M,безобра́зничал
Past F,безобра́зничала
Past N,безобра́зничало
Past PL,безобра́зничали
Imp S,безобра́зничай
Imp PL,безобра́зничайте
