Infinitive,беснова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бесну́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,беснова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бесну́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,беснова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бесну́юсь
2nd Sing,бесну́ешься
3rd Sing,бесну́ется
1st Pl,бесну́емся
2nd Pl,бесну́етесь
3rd Pl,бесну́ются
Past M,беснова́лся
Past F,беснова́лась
Past N,беснова́лось
Past PL,беснова́лись
Imp S,бесну́йся
Imp PL,бесну́йтесь
