Infinitive,безде́льничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,безде́льничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,безде́льничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,безде́льничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,безде́льничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,безде́льничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,безде́льничаю
2nd Sing,безде́льничаешь
3rd Sing,безде́льничает
1st Pl,безде́льничаем
2nd Pl,безде́льничаете
3rd Pl,безде́льничают
Past M,безде́льничал
Past F,безде́льничала
Past N,безде́льничало
Past PL,безде́льничали
Imp S,безде́льничай
Imp PL,безде́льничайте
