Infinitive,беспоко́ить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,беспоко́ящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,беспоко́ивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,беспоко́имый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,беспоко́енный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,беспоко́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,беспоко́ив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,беспоко́ивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,беспоко́ю
2nd Sing,беспоко́ишь
3rd Sing,беспоко́ит
1st Pl,беспоко́им
2nd Pl,беспоко́ите
3rd Pl,беспоко́ят
Past M,беспоко́ил
Past F,беспоко́ила
Past N,беспоко́ило
Past PL,беспоко́или
Imp S,беспоко́й
Imp PL,беспоко́йте
