Infinitive,бе́дствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бе́дствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бе́дствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бе́дствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бе́дствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бе́дствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бе́дствую
2nd Sing,бе́дствуешь
3rd Sing,бе́дствует
1st Pl,бе́дствуем
2nd Pl,бе́дствуете
3rd Pl,бе́дствуют
Past M,бе́дствовал
Past F,бе́дствовала
Past N,бе́дствовало
Past PL,бе́дствовали
Imp S,бе́дствуй
Imp PL,бе́дствуйте
