Infinitive,беспоко́иться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,беспоко́ящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,беспоко́ившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,беспоко́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,беспоко́ившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,беспоко́юсь
2nd Sing,беспоко́ишься
3rd Sing,беспоко́ится
1st Pl,беспоко́имся
2nd Pl,беспоко́итесь
3rd Pl,беспоко́ятся
Past M,беспоко́ился
Past F,беспоко́илась
Past N,беспоко́илось
Past PL,беспоко́ились
Imp S,беспоко́йся
Imp PL,беспоко́йтесь
