Infinitive,беси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,беся́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,беси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,беся́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,беси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бешу́сь
2nd Sing,бе́сишься
3rd Sing,бе́сится
1st Pl,бе́симся
2nd Pl,бе́ситесь
3rd Pl,бе́сятся
Past M,беси́лся
Past F,беси́лась
Past N,беси́лось
Past PL,беси́лись
Imp S,беси́сь
Imp PL,беси́тесь
