Infinitive,е́сть
Zaliznyak Class,irreg-b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,едя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,е́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,едо́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,е́денный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,едя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,е́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,е́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,е́м
2nd Sing,е́шь
3rd Sing,е́ст
1st Pl,еди́м
2nd Pl,еди́те
3rd Pl,едя́т
Past M,е́л
Past F,е́ла
Past N,е́ло
Past PL,е́ли
Imp S,е́шь
Imp PL,е́шьте
