Infinitive,голосова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,голосу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,голосова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,голосу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,голосова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,голосова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,голосу́ю
2nd Sing,голосу́ешь
3rd Sing,голосу́ет
1st Pl,голосу́ем
2nd Pl,голосу́ете
3rd Pl,голосу́ют
Past M,голосова́л
Past F,голосова́ла
Past N,голосова́ло
Past PL,голосова́ли
Imp S,голосу́й
Imp PL,голосу́йте
