Infinitive,госпо́дствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,госпо́дствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,госпо́дствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,госпо́дствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,госпо́дствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,госпо́дствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,госпо́дствую
2nd Sing,госпо́дствуешь
3rd Sing,госпо́дствует
1st Pl,госпо́дствуем
2nd Pl,госпо́дствуете
3rd Pl,госпо́дствуют
Past M,госпо́дствовал
Past F,госпо́дствовала
Past N,госпо́дствовало
Past PL,госпо́дствовали
Imp S,госпо́дствуй
Imp PL,госпо́дствуйте
