Infinitive,горба́титься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,горба́тящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,горба́тившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,горба́тясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,горба́тившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,горба́чусь
2nd Sing,горба́тишься
3rd Sing,горба́тится
1st Pl,горба́тимся
2nd Pl,горба́титесь
3rd Pl,горба́тятся
Past M,горба́тился
Past F,горба́тилась
Past N,горба́тилось
Past PL,горба́тились
Imp S,горба́ться
Imp PL,горба́тьтесь
