Infinitive,голода́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,голода́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,голода́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,голода́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,голода́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,голода́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,голода́ю
2nd Sing,голода́ешь
3rd Sing,голода́ет
1st Pl,голода́ем
2nd Pl,голода́ете
3rd Pl,голода́ют
Past M,голода́л
Past F,голода́ла
Past N,голода́ло
Past PL,голода́ли
Imp S,голода́й
Imp PL,голода́йте
