Infinitive,голоси́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,голося́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,голоси́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,голося́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,голоси́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,голоси́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,голошу́
2nd Sing,голоси́шь
3rd Sing,голоси́т
1st Pl,голоси́м
2nd Pl,голоси́те
3rd Pl,голося́т
Past M,голоси́л
Past F,голоси́ла
Past N,голоси́ло
Past PL,голоси́ли
Imp S,голоси́
Imp PL,голоси́те
