Infinitive,горячи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,горяча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,горячи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,горяча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,горячи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,горячу́сь
2nd Sing,горячи́шься
3rd Sing,горячи́тся
1st Pl,горячи́мся
2nd Pl,горячи́тесь
3rd Pl,горяча́тся
Past M,горячи́лся
Past F,горячи́лась
Past N,горячи́лось
Past PL,горячи́лись
Imp S,горячи́сь
Imp PL,горячи́тесь
