Infinitive,годи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,годя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,годи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,годя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,годи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гожу́сь
2nd Sing,годи́шься
3rd Sing,годи́тся
1st Pl,годи́мся
2nd Pl,годи́тесь
3rd Pl,годя́тся
Past M,годи́лся
Past F,годи́лась
Past N,годи́лось
Past PL,годи́лись
Imp S,годи́сь
Imp PL,годи́тесь
