Infinitive,горди́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гордя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,горди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гордя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,горди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,горжу́сь
2nd Sing,горди́шься
3rd Sing,горди́тся
1st Pl,горди́мся
2nd Pl,горди́тесь
3rd Pl,гордя́тся
Past M,горди́лся
Past F,горди́лась
Past N,горди́лось
Past PL,горди́лись
Imp S,горди́сь
Imp PL,горди́тесь
