Infinitive,гоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гоня́юсь
2nd Sing,гоня́ешься
3rd Sing,гоня́ется
1st Pl,гоня́емся
2nd Pl,гоня́етесь
3rd Pl,гоня́ются
Past M,гоня́лся
Past F,гоня́лась
Past N,гоня́лось
Past PL,гоня́лись
Imp S,гоня́йся
Imp PL,гоня́йтесь
