Infinitive,гото́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гото́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гото́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гото́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гото́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гото́влюсь
2nd Sing,гото́вишься
3rd Sing,гото́вится
1st Pl,гото́вимся
2nd Pl,гото́витесь
3rd Pl,гото́вятся
Past M,гото́вился
Past F,гото́вилась
Past N,гото́вилось
Past PL,гото́вились
Imp S,гото́вься
Imp PL,гото́вьтесь
