Infinitive,го́рбиться
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,го́рбящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,го́рбившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,го́рбясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,го́рбившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,го́рблюсь
2nd Sing,го́рбишься
3rd Sing,го́рбится
1st Pl,го́рбимся
2nd Pl,го́рбитесь
3rd Pl,го́рбятся
Past M,го́рбился
Past F,го́рбилась
Past N,го́рбилось
Past PL,го́рбились
Imp S,го́рбись
Imp PL,го́рбитесь
