Infinitive,го́рбить
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,го́рбящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,го́рбивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,го́рбимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,го́рбленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,го́рбя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,го́рбив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,го́рбивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,го́рблю
2nd Sing,го́рбишь
3rd Sing,го́рбит
1st Pl,го́рбим
2nd Pl,го́рбите
3rd Pl,го́рбят
Past M,го́рбил
Past F,го́рбила
Past N,го́рбило
Past PL,го́рбили
Imp S,го́рби
Imp PL,го́рбите
