Infinitive,говори́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,говоря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,говори́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,говоря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,говори́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,говорю́сь
2nd Sing,говори́шься
3rd Sing,говори́тся
1st Pl,говори́мся
2nd Pl,говори́тесь
3rd Pl,говоря́тся
Past M,говори́лся
Past F,говори́лась
Past N,говори́лось
Past PL,говори́лись
Imp S,говори́сь
Imp PL,говори́тесь
