Infinitive,гомони́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гомоня́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гомони́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гомоня́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гомони́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гомони́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,гомоню́
2nd Sing,гомони́шь
3rd Sing,гомони́т
1st Pl,гомони́м
2nd Pl,гомони́те
3rd Pl,гомоня́т
Past M,гомони́л
Past F,гомони́ла
Past N,гомони́ло
Past PL,гомони́ли
Imp S,гомони́
Imp PL,гомони́те
