Infinitive,именова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,имену́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,именова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,имену́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,именова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,имену́юсь
2nd Sing,имену́ешься
3rd Sing,имену́ется
1st Pl,имену́емся
2nd Pl,имену́етесь
3rd Pl,имену́ются
Past M,именова́лся
Past F,именова́лась
Past N,именова́лось
Past PL,именова́лись
Imp S,имену́йся
Imp PL,имену́йтесь
