Infinitive,импони́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,импони́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,импони́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,импони́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,импони́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,импони́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,импони́рую
2nd Sing,импони́руешь
3rd Sing,импони́рует
1st Pl,импони́руем
2nd Pl,импони́руете
3rd Pl,импони́руют
Past M,импони́ровал
Past F,импони́ровала
Past N,импони́ровало
Past PL,импони́ровали
Imp S,импони́руй
Imp PL,импони́руйте
