Infinitive,име́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,име́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,име́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,име́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,име́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,име́юсь
2nd Sing,име́ешься
3rd Sing,име́ется
1st Pl,име́емся
2nd Pl,име́етесь
3rd Pl,име́ются
Past M,име́лся
Past F,име́лась
Past N,име́лось
Past PL,име́лись
Imp S,име́йся
Imp PL,име́йтесь
