Infinitive,оки́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оки́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оки́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оки́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оки́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,оки́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,оки́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,оки́дываю
2nd Sing,оки́дываешь
3rd Sing,оки́дывает
1st Pl,оки́дываем
2nd Pl,оки́дываете
3rd Pl,оки́дывают
Past M,оки́дывал
Past F,оки́дывала
Past N,оки́дывало
Past PL,оки́дывали
Imp S,оки́дывай
Imp PL,оки́дывайте
