Infinitive,округли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,округли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,округли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,округлю́сь
2nd Sing,округли́шься
3rd Sing,округли́тся
1st Pl,округли́мся
2nd Pl,округли́тесь
3rd Pl,округля́тся
Past M,округли́лся
Past F,округли́лась
Past N,округли́лось
Past PL,округли́лись
Imp S,округли́сь
Imp PL,округли́тесь
