Infinitive,окола́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,окола́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,окола́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окола́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,окола́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окола́чиваюсь
2nd Sing,окола́чиваешься
3rd Sing,окола́чивается
1st Pl,окола́чиваемся
2nd Pl,окола́чиваетесь
3rd Pl,окола́чиваются
Past M,окола́чивался
Past F,окола́чивалась
Past N,окола́чивалось
Past PL,окола́чивались
Imp S,окола́чивайся
Imp PL,окола́чивайтесь
