Infinitive,оку́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оку́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оку́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оку́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оку́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оку́таю
2nd Sing,оку́таешь
3rd Sing,оку́тает
1st Pl,оку́таем
2nd Pl,оку́таете
3rd Pl,оку́тают
Past M,оку́тал
Past F,оку́тала
Past N,оку́тало
Past PL,оку́тали
Imp S,оку́тай
Imp PL,оку́тайте
