Infinitive,округли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,округли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,округлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,округли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,округли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,округлю́
2nd Sing,округли́шь
3rd Sing,округли́т
1st Pl,округли́м
2nd Pl,округли́те
3rd Pl,округля́т
Past M,округли́л
Past F,округли́ла
Past N,округли́ло
Past PL,округли́ли
Imp S,округли́
Imp PL,округли́те
