Infinitive,окле́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окле́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окле́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окле́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окле́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окле́ю
2nd Sing,окле́ишь
3rd Sing,окле́ит
1st Pl,окле́им
2nd Pl,окле́ите
3rd Pl,окле́ят
Past M,окле́ил
Past F,окле́ила
Past N,окле́ило
Past PL,окле́или
Imp S,окле́й
Imp PL,окле́йте
