Infinitive,око́нчиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,око́нчившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,око́нчившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,око́нчусь
2nd Sing,око́нчишься
3rd Sing,око́нчится
1st Pl,око́нчимся
2nd Pl,око́нчитесь
3rd Pl,око́нчатся
Past M,око́нчился
Past F,око́нчилась
Past N,око́нчилось
Past PL,око́нчились
Imp S,око́нчись
Imp PL,око́нчитесь
