Infinitive,окре́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,окре́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окре́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,окре́пну
2nd Sing,окре́пнешь
3rd Sing,окре́пнет
1st Pl,окре́пнем
2nd Pl,окре́пнете
3rd Pl,окре́пнут
Past M,окре́п
Past F,окре́пла
Past N,окре́пло
Past PL,окре́пли
Imp S,окре́пни
Imp PL,окре́пните
