Infinitive,окли́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окли́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окли́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окли́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окли́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окли́кну
2nd Sing,окли́кнешь
3rd Sing,окли́кнет
1st Pl,окли́кнем
2nd Pl,окли́кнете
3rd Pl,окли́кнут
Past M,окли́кнул
Past F,окли́кнула
Past N,окли́кнуло
Past PL,окли́кнули
Imp S,окли́кни
Imp PL,окли́кните
