Infinitive,окайми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окайми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окаймлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окайми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окайми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окаймлю́
2nd Sing,окайми́шь
3rd Sing,окайми́т
1st Pl,окайми́м
2nd Pl,окайми́те
3rd Pl,окаймя́т
Past M,окайми́л
Past F,окайми́ла
Past N,окайми́ло
Past PL,окайми́ли
Imp S,окайми́
Imp PL,окайми́те
