Infinitive,окуну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окуну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оку́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окуну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окуну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окуну́
2nd Sing,окунёшь
3rd Sing,окунёт
1st Pl,окунём
2nd Pl,окунёте
3rd Pl,окуну́т
Past M,окуну́л
Past F,окуну́ла
Past N,окуну́ло
Past PL,окуну́ли
Imp S,окуни́
Imp PL,окуни́те
