Infinitive,окуна́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,окуна́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,окуна́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окуна́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,окуна́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окуна́юсь
2nd Sing,окуна́ешься
3rd Sing,окуна́ется
1st Pl,окуна́емся
2nd Pl,окуна́етесь
3rd Pl,окуна́ются
Past M,окуна́лся
Past F,окуна́лась
Past N,окуна́лось
Past PL,окуна́лись
Imp S,окуна́йся
Imp PL,окуна́йтесь
