Infinitive,окаймля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окаймля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,окаймля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окаймля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,окаймля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,окаймля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,окаймля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,окаймля́ю
2nd Sing,окаймля́ешь
3rd Sing,окаймля́ет
1st Pl,окаймля́ем
2nd Pl,окаймля́ете
3rd Pl,окаймля́ют
Past M,окаймля́л
Past F,окаймля́ла
Past N,окаймля́ло
Past PL,окаймля́ли
Imp S,окаймля́й
Imp PL,окаймля́йте
