Infinitive,окружи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окружи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окружи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окружи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окружу́
2nd Sing,окружи́шь
3rd Sing,окружи́т
1st Pl,окружи́м
2nd Pl,окружи́те
3rd Pl,окружа́т
Past M,окружи́л
Past F,окружи́ла
Past N,окружи́ло
Past PL,окружи́ли
Imp S,окружи́
Imp PL,окружи́те
