Infinitive,окра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окра́шу
2nd Sing,окра́сишь
3rd Sing,окра́сит
1st Pl,окра́сим
2nd Pl,окра́сите
3rd Pl,окра́сят
Past M,окра́сил
Past F,окра́сила
Past N,окра́сило
Past PL,окра́сили
Imp S,окра́сь
Imp PL,окра́сьте
