Infinitive,око́нчить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,око́нчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,око́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,око́нчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,око́нчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,око́нчу
2nd Sing,око́нчишь
3rd Sing,око́нчит
1st Pl,око́нчим
2nd Pl,око́нчите
3rd Pl,око́нчат
Past M,око́нчил
Past F,око́нчила
Past N,око́нчило
Past PL,око́нчили
Imp S,око́нчи
Imp PL,око́нчите
