Infinitive,окупи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,окупи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окупи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,окуплю́сь
2nd Sing,оку́пишься
3rd Sing,оку́пится
1st Pl,оку́пимся
2nd Pl,оку́питесь
3rd Pl,оку́пятся
Past M,окупи́лся
Past F,окупи́лась
Past N,окупи́лось
Past PL,окупи́лись
Imp S,окупи́сь
Imp PL,окупи́тесь
