Infinitive,ока́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ока́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ока́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ока́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ока́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ока́зываюсь
2nd Sing,ока́зываешься
3rd Sing,ока́зывается
1st Pl,ока́зываемся
2nd Pl,ока́зываетесь
3rd Pl,ока́зываются
Past M,ока́зывался
Past F,ока́зывалась
Past N,ока́зывалось
Past PL,ока́зывались
Imp S,ока́зывайся
Imp PL,ока́зывайтесь
