Infinitive,оклема́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оклема́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оклема́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оклема́юсь
2nd Sing,оклема́ешься
3rd Sing,оклема́ется
1st Pl,оклема́емся
2nd Pl,оклема́етесь
3rd Pl,оклема́ются
Past M,оклема́лся
Past F,оклема́лась
Past N,оклема́лось
Past PL,оклема́лись
Imp S,оклема́йся
Imp PL,оклема́йтесь
