Infinitive,окопа́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,окопа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окопа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,окопа́юсь
2nd Sing,окопа́ешься
3rd Sing,окопа́ется
1st Pl,окопа́емся
2nd Pl,окопа́етесь
3rd Pl,окопа́ются
Past M,окопа́лся
Past F,окопа́лась
Past N,окопа́лось
Past PL,окопа́лись
Imp S,окопа́йся
Imp PL,окопа́йтесь
