Infinitive,окамене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,окамене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окамене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,окамене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,окамене́ю
2nd Sing,окамене́ешь
3rd Sing,окамене́ет
1st Pl,окамене́ем
2nd Pl,окамене́ете
3rd Pl,окамене́ют
Past M,окамене́л
Past F,окамене́ла
Past N,окамене́ло
Past PL,окамене́ли
Imp S,окамене́й
Imp PL,окамене́йте
