Infinitive,окати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ока́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окачу́
2nd Sing,ока́тишь
3rd Sing,ока́тит
1st Pl,ока́тим
2nd Pl,ока́тите
3rd Pl,ока́тят
Past M,окати́л
Past F,окати́ла
Past N,окати́ло
Past PL,окати́ли
Imp S,окати́
Imp PL,окати́те
