Infinitive,окрести́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,окрести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,окрещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,окрести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,окрести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,окрещу́
2nd Sing,окре́стишь
3rd Sing,окре́стит
1st Pl,окре́стим
2nd Pl,окре́стите
3rd Pl,окре́стят
Past M,окрести́л
Past F,окрести́ла
Past N,окрести́ло
Past PL,окрести́ли
Imp S,окрести́
Imp PL,окрести́те
